Facility Id,Zip Code,Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions 
1000955,79404,12410.304,12397.7,5.75,6.854
1012573,33173,23105.572,23064.3,14.75,26.522
1005044,93657,70675.188,70603.4,32.75,39.038
1006409,6096,94906.358,94801.7,46.25,58.408
1001217,14536,19657.776,19637.5,9.25,11.026
1000916,38109,1917719.584,1915770.6,888.7,1060.284
1000691,55003,1266378.296,1259802.6,332,6243.696
1009920,25076,53200,,53200,
1007315,95358,164368.84,164201.7,76.25,90.89
1003689,93308,17599.036,17581.5,8,9.536
1013070,17724,21813.02,21791.1,10,11.92
1005826,35601,39507.452,39466.9,18.5,22.052
1012152,49730,522863.712,522332.7,242.25,288.762
1013088,43616,64213.876,64166.2,21.75,25.926
1000417,62694,42478.992,42435.7,19.75,23.542
1007072,77412,34034.75,,34034.75,
1007699,94551,171857.896,506.1,171232,119.796
1004861,61554,171999.154,171553.9,349,96.254
1000413,61554,327014.122,325434,1382.25,197.872
1004465,94503,33650.25,,33650.25,
1006878,58225,391816.382,358679.9,31800.25,1336.232
1010323,25035,174450.5,,174450.5,
1002889,82935,1025302.218,1022038.6,1225,2038.618
1001859,21230,110981.732,110867.2,52.25,62.282
1001861,10705,77228.844,77136.8,39,53.044
1005802,50010,241719.06,240711.6,405.5,601.96
1013081,24521,28023.75,,28023.75,
1005068,26323,28669.992,28640.4,13.5,16.092
1000865,73005,311506.384,311186.9,145.75,173.734
1009982,1887,75511.13599,5114.7,2.5,2661.14
1003759,1887,42978.85359,5475.8,2.5,2533.298
1002181,14903,96465.188,96393.4,32.75,39.038
1004943,31088,59731.828,59684.7,21.5,25.628
1005074,74437,102173.68,102099.7,33.75,40.23
1004941,32254,64130.468,64080.6,22.75,27.118
1004942,55379,79531.996,79476.1,25.5,30.396
1002178,47025,51311.672,51276.6,16,19.072
1007246,34691,1357055.072,1355677.4,628.5,749.172
1002813,29627,246753.25,,246753.25,
1001097,57101,79667.392,79584.5,37,45.892
1002037,63118,82423.222,82313.2,46.25,63.772
1011466,55303,30023.5,,30023.5,
1002236,28135,80463.75,,80463.75,
1006652,79311,122802.388,122675.8,57.75,68.838
1001055,58523,6570324.804,6520846,18100,31378.804
1013385,26415,0,0,,
1005949,85606,1728325.334,1718131.5,3777,6416.834
1000068,89165,999140.348,998126,462.75,551.598
1001360,80223,112777.132,112662.6,52.25,62.282
1013151,49738,61823.692,61112.2,121.75,589.742
1003156,72104,52357.452,52303.2,24.75,29.502
1003476,65265,30508.936,30477.7,14.25,16.986
1005661,62521,4135002.808,4100894.5,15410,18698.308
1013749,58027,28925.206,27917.6,561.5,446.106
1007937,52722,263004.16,262732.9,123.75,147.51
1003379,17601,113827.472,113710.2,53.5,63.772
1005833,70729,0,0,,
1005835,35470,118643.862,117695.2,347,601.662
1002800,40165,46883.994,46518.4,133.75,231.844
1012548,93225,22956.116,22933.1,10.5,12.516
1013060,46158,51574.504,51520.8,24.5,29.204
1002504,8302,54017.1,53976,18.75,22.35
1005977,53105,77701.04,77644,25.75,31.29
1000105,60419,85254.18,85193.9,27.5,32.78
1000002,47336,115616.9,115534.7,37.5,44.7
1000003,27537,79156.516,79094.4,27.25,34.866
1000005,93637,76626.784,76567.6,27,32.184
1000028,63070,78245.656,78192.5,24.25,28.906
1000020,16743,62665.624,62617.4,22,26.224
1000021,71275,44137.832,44105.5,14.75,17.582
1000023,74066,102677.636,102605.3,33,39.336
1000024,98134,54049.144,54006.4,19.5,23.244
1000026,27893,89289.616,89225.5,29.25,34.866
1006060,47394,97792.328,97717.8,34,40.528
1003258,77029,62439.992,62396.7,19.75,23.542
1005158,612,129770.346,69.5,129700.25,0.596
1005458,32669,1058173.67,1055656,941.25,1576.42
1002750,29448,587198.466,585839.2,527.25,832.016
1006164,646,0,0,,
1002645,76040,84724.45,0.2,84724.25,
1001399,85322,1070769.632,1069682.4,496,591.232
1004087,77995,113155.83,70510.1,42605.5,40.23
1005709,15774,738214.904,737476.3,336.9,401.704
1006883,31206,86606.524,86517.2,40.75,48.574
1003846,37389,25594.436,25564.7,12.75,16.986
1001297,36786,82303.25,,82303.25,
1001609,71101,1229339.244,1228090.9,569.5,678.844
1000759,10314,590550.685,589950.8,273.575,326.31
1007189,32304,675426.576,674736,314.5,376.076
1000158,35601,546543.606,545902.3,374,267.306
1004962,32533,3515198.23,1074650.2,752,2439796.03
1002530,84648,585814.52,584007.7,662.5,1144.32
1007180,28704,1595369.424,1593698.7,750.5,920.224
1014475,99403,68301.602,,68287,14.602
1004873,96707,1.644,,0.75,0.894
1000132,11105,39655.752,39595.7,23.1,36.952
1007053,11105,548997.64,548377.5,268.5,351.64
1014070,57213,99984.98,99883.6,46.25,55.13
1000101,12015,1664181.732,1662491.7,771,919.032
1011217,45764,152043.25,,152043.25,
1003450,31650,53361.25,,53361.25,
1014281,79745,58863.628,58802.8,27.75,33.078
1014278,79745,62098.616,62034.5,29.25,34.866
1007247,39160,1284379.192,1283075.5,594.75,708.942
1005810,32331,56801.25,,56801.25,
1001379,63382,157153.02,156994.1,72.5,86.42
1002822,28001,192.1,192.1,,
1001780,29307,96124.388,96025.2,45.25,53.938
1010658,68818,127411.42,127279.9,60,71.52
1001397,60504,190945.644,190752,88.45,105.194
1013293,14207,30635.184,30603.4,14.5,17.284
1008734,80525,78584.46874,14092.2,6.75,4263.784
1013954,27834,10773.86,10762.9,5,5.96
1000843,44012,435781.302,432317.1,1266.75,2197.452
1004608,53038,37.6,37.6,,
1014580,47724,46136.176,46088.5,21.75,25.926
1014603,79072,41418.144,41375.4,19.5,23.244
1005872,92614,51331.26,51279.2,23.75,28.31
1003412,63448,25049.75,,25049.75,
1002728,93308,16528.788,16511.8,7.75,9.238
1002032,53566,109890.834,109770.6,58.25,61.984
1000046,92555,82236.25,,82236.25,
1002896,93220,41041.25,,41041.25,
1007875,36580,265100.25,,265100.25,
1004171,47306,21634.368,21611.9,10.25,12.218
1005395,99723,62819.364,62754.7,29.5,35.164
1004406,92311,54008,45.5,53962.5,
1002168,47201,18039.75,,18039.75,
1002167,47201,76129.4,33.9,76095.5,
1002401,67530,36999.7,35.7,36964,
1005850,77705,67341.996,67272.4,31.75,37.846
1004208,70734,804838.604,801281,1129.5,2428.104
1002613,77501,38600.704,38560.7,18.25,21.754
1007885,39815,124923.514,124742.6,71.25,109.664
1002622,31404,50914.608,50862,24,28.608
1000017,63461,121093.444,120968.5,57,67.944
1003551,36553,73453.624,73378,34.5,41.124
1003325,31054,150720.232,150564.6,71,84.632
1006829,31031,45457.928,45410.8,21.5,25.628
1013958,48192,34758.568,34722.4,16.5,19.668
1001934,77541,627565.612,626952.4,279.75,333.462
1006543,77642,1817099.37,1795155.4,10392,11551.97
1004740,83221,64302.108,64235.8,30.25,36.058
1006355,83274,5159.58,5154.1,2.5,2.98
1002639,22835,66896.95,19.2,66877.75,
1001918,64120,48713.104,48660.4,23.5,29.204
1007684,77520,41826.25,,41826.25,
1006417,84626,88953.8,2.8,88951,
1006384,48226,156822.66,156661,73.75,87.91
1006139,93308,49249.868,49200,22.75,27.118
1006416,77713,75818.19,75686,48.75,83.44
1004815,45692,326003.9,59.9,325944,
1003744,60401,1762.75,,1762.75,
1005525,15213,56589.736,56531.1,26.75,31.886
1013375,71115,41131.596,41089.4,19.25,22.946
1003718,82431,37926.97,37638.2,105.5,183.27
1003913,57717,11825.156,11813.1,5.5,6.556
1003478,29461,69073,,69073,
1005268,99635,161.7,161.7,,
1006093,46797,30537.136,30505.9,14.25,16.986
1005281,37191,166773.5,,166773.5,
1006223,38756,148066.5,,148066.5,
1006787,61434,180939.968,180753.1,85.25,101.618
1002443,52655,167866.868,167693.7,79,94.168
1005626,52040,176471.436,176289.5,83,98.936
1007094,41102,283730.75,,283730.75,
1006961,79720,722532.588,711430.7,9066.25,2035.638
1009068,84054,288509.134,285772.2,1587.25,1149.684
1004354,45152,5342.5,,5342.5,
1000477,59101,137523.5,,137523.5,
1000383,2142,29755.04,29724.9,13.75,16.39
1006002,63701,20169.024,20148.2,9.5,11.324
1005126,67880,120391.152,120378,6,7.152
1011449,91792,281537.75,,281537.75,
1000287,50701,170383.25,,170383.25,
1005518,65667,33631.25,,33631.25,
1001943,28658,109495.626,67.6,109417,11.026
1005891,77545,319680.5,,319680.5,
1004082,40336,19848.5,238,19610.5,
1002158,68517,103214.248,80.7,103133.25,0.298
1005880,29651,52498.682,52312.8,64,121.882
1000638,19078,23548.656,23523.4,11.25,14.006
1002893,99363,211884.064,196200.4,15089.75,593.914
1007994,56649,155242.292,151093,810.5,3338.792
1002963,36545,126485.676,118029.7,6239.75,2216.226
1004091,67846,55614.24,55556.7,26.25,31.29
1006301,79008,1634740.19,1588978.6,43018.5,2743.09
1006661,80303,12472,,12472,
1003818,84087,58252.25,25.5,58226.75,
1006468,98230,2275448.402,2264572.9,6487.75,4387.752
1007339,46394,4816773.628,4793413.4,12919.5,10440.728
1005003,15014,120279.64,120167.3,51.25,61.09
1003356,37353,232880.75,,232880.75,
1007951,91352,13544.596,931,12613,0.596
1007574,77571,38239.356,38190.2,20.25,28.906
1006214,25530,27313.44,27283.8,13.25,16.39
1002489,48457,77929.848,98.8,77830.75,0.298
1005023,32926,651193.152,270.8,650870.5,51.852
1004026,61832,30443.15,0.4,30442.75,
1002349,69336,47853.12,47803.8,22.5,26.82
1003241,37086,29195.44,29165.3,13.75,16.39
1003898,50313,43199.888,43155.5,20.25,24.138
1014643,0,54418.82,54232.7,55,131.12
1004233,0,227727.392,216246.1,11234.25,247.042
1004613,0,16001.72,4928.8,11061,11.92
1011809,70339,104572.212,96810.7,7733.5,28.012
1013701,79355,40912.802,40742.7,155.5,14.602
1012037,82716,53615.51,51370.7,2216.5,28.31
1010475,79014,36468.868,35231.7,1217.5,19.668
1003129,75859,38896.854,38595.6,279.5,21.754
1005887,76247,48994.656,46822.1,2166,6.556
1007496,79003,32137.584,30972.3,1148,17.284
1004802,82930,3007.644,1521,1485.75,0.894
1010353,75965,38421.864,33259.5,5157,5.364
1002515,88210,96551.196,94023.4,2482.5,45.296
1005770,60450,299818.088,295406.9,4245.5,165.688
1003082,75630,38344.174,33808.2,4509.75,26.224
1012815,75835,103834.496,102480.1,1324,30.396
1014725,77002,103716.658,101205.5,2490,21.158
1014680,79313,18358.126,16825.3,1529.25,3.576
1004686,73625,24980.912,23227.8,1740,13.112
1008677,78145,62918.716,60538.8,2352.5,27.416
1008680,78145,31741.062,30647.7,1080.25,13.112
1012986,78141,48238.358,46916.2,1301,21.158
1008681,78145,70718.14,67591.1,3095.75,31.29
1001760,81303,283292.528,281291.3,1953.25,47.978
1012906,79730,137039.054,104021,32966.5,51.554
1008835,58769,10380.514,10259.9,115.25,5.364
1002943,81635,200588.454,180532.5,19989.5,66.454
